"ano","variable","escenario","valor_pct_pib","unidad","estado_dato","fuente","detalle_fuente"
"2034","gasto_sanitario_publico","baseline","6.3819","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2035","gasto_sanitario_publico","baseline","6.4344","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2036","gasto_sanitario_publico","baseline","6.4856","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2037","gasto_sanitario_publico","baseline","6.5379","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2038","gasto_sanitario_publico","baseline","6.5863","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2039","gasto_sanitario_publico","baseline","6.637","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2040","gasto_sanitario_publico","baseline","6.6827","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2041","gasto_sanitario_publico","baseline","6.7291","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2042","gasto_sanitario_publico","baseline","6.7702","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2043","gasto_sanitario_publico","baseline","6.8107","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2044","gasto_sanitario_publico","baseline","6.849","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2045","gasto_sanitario_publico","baseline","6.885","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2046","gasto_sanitario_publico","baseline","6.9188","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2047","gasto_sanitario_publico","baseline","6.9514","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2048","gasto_sanitario_publico","baseline","6.9804","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2049","gasto_sanitario_publico","baseline","7.0079","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2050","gasto_sanitario_publico","baseline","7.0325","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
"2051","gasto_sanitario_publico","baseline","7.0553","porcentaje del PIB","proyectado","Comision Europea, 2024 Ageing Report, Statistical annexes all country fiches","ESc row 7 Health care spending as % of GDP, baseline"
